plain_language_program_name,language,get_help_summary,how_to_apply_or_enroll_by_1,office_locations_url
Lajan pou achte manje,Haitian Creole,\nVizite sitwèb SNAP (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) la pou jwenn plis enfòmasyon.\nRele Liy Enfòmasyon HRA a nan 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) pou yo ede ou aplike pou SNAP.\nAle nan yon sant SNAP (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) oswa Òganizasyon Kominotè (CBO) lokal ou an pou w jwenn èd fas-a-fas.,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
Снижение налогов на недвижимость для домовладельцев,Russian,"\nПодробную информацию можно получить на сайте программы STAR. (https://tax.ny.gov/pit/property/star/default.htm) \nДля получения подробной информации позвоните по телефону311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) .\nЕсли у вас возникли вопросы о программе STAR, напишите по электронной почте в Департамент финансов города Нью-Йорка (NYC Department of Finance)Департамент финансов города Нью-Йорка (NYC Department of Finance).\nСвяжитесь с Департаментом налогообложения и финансов штата Нью-Йорк по телефону 518-457-2036 Для получения дополнительной информации о налоговой льготе STAR штата Нью-Йорк.","Если ваш доход превышает 250 000 долларов США и меньше или равен 500 000 долларов США, вы можете зарегистрироваться онлайн для получения налогового кредита STAR штата Нью-Йорк (https://www.tax.ny.gov/pit/property/star/) или позвонив по телефону 518-457-2036.",
المال لشراء الغذاء,Arabic,\nقم بزيارة موقع برنامج المساعدات الغذائية التكميلية (SNAP) الإلكتروني (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) لمعرفة المزيد عن هذا البرنامج.\nاتصل بخط معلومات إدارة الموارد البشرية (HRA) على الرقم 1399-557-718 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) للحصول على المساعدة للتقديم في برنامج المساعدات الغذائية التكميلية (SNAP).\nقم بزيارة أحد مراكز SNAP (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) أو المنظمة المجتمعية (CBO) المحلية للحصول على المساعدة بشكل شخصي.,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
Garde d’enfants gratuite ou à bas coût pour les enfants de six semaines à deux ans,French,\nObtenez plus d’informations au sujet d’EarlyLearn auprès de NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .\nAppelez le 311. Demandez « EarlyLearn » (garde d'enfants EarlyLearn) si vous avez besoin d’aide pour trouver un programme.,,{'url': 'https://www.myschools.nyc/fr/schools/3k/'}
Бесплатные программы Pre-K для четырехлетних детей,Russian,"\nПосетите веб‑сайт программы Pre-K NYC DOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) , чтобы узнать подробнее о процессе подачи заявления.\nЕсли у вас есть вопросы о зачислении в программу Pre-K, позвоните по номеру 718-935-2009 (mailto:ESEnrollment@schools.nyc.gov) .\nЕсли у вас есть вопросы о зачислении в программу Pre-K, отправьте электронное письмо в ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) .\nЧтобы узнать больше о программах Pre-K, посетите Центр приема семей.","\nЗарегистрируйтесь по телефону, позвонив по номеру 718-935-2009.Подайте заявление с 10 января по 1 марта 2024 г.\nУслуги устного переводчика доступны более чем на 200 языках.",
Dinero para gastos de servicios públicos y calefacción,Spanish,"\nPara obtener más información de este programa, visite el sitio web de la Oficina de Asistencia Temporal y por Discapacidad (OTDA) para el Programa de Asistencia para la Energía en la Vivienda (HEAP) (https://otda.ny.gov/programs/heap/) .\nLlame al 718-557-1399 para obtener ayuda con HEAP.\nLlame al 311 y pida ayuda con el Programa de Asistencia para la Energía en la Vivienda.",Las solicitudes para el Beneficio de Emergencia 2024-25 cerraron el 7 de abril de 2025. No es posible solicitar un beneficio HEAP regular por teléfono. Llame al718-557-1399para solicitar beneficios de emergencia o para revisar el estado de su solicitud. Primero debe enviar la solicitud y le deben aprobar el beneficio regular del HEAP.,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
Un allègement de l’impôt foncier pour les New-Yorkais handicapés,French,"\nPrésentez-vous dans un Department of Finance Business Center (http://www1.nyc.gov/site/finance/pay-now/person.page) (Centre commercial du ministère des finances) (ouvert du lundi au vendredi de 8h30 à 16h30) pour obtenir de l'aide en personne.\nRendez-vous sur le site web de DHE (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) pour en savoir plus.\nAppelez le DHE au 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) ou 212-639-9675 (à l'extérieur de la ville), ou l'ATS au 212-639-9675 (malentendants).\nEnvoyez un email à DHE pour obtenir plus d'informations.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Programas de prekínder gratis para niños de cuatro años,Spanish,\nVisite el sitio web de prekínder del NYC DOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) para obtener más información sobre el proceso de ingreso a prekínder.\nEnvíe un email al área de ingresos a prekínder a es_enrollment@schools.nyc.gov (mailto:ES_Enrollment@schools.nyc.gov) si tiene preguntas sobre cómo entrar a los programas de prekínder.,\nInscríbase por teléfono llamando al 718-935-2009.Envíe su solicitud del 10 de enero al 1 de marzo de 2024.\nHay servicios de interpretación en más de 200 idiomas.,
چھ ہفتے سے لے کر دو سال کی عمر تک کے بچوں کے لیے مفت یا کم قیمت پر نگہداشت اطفال,Urdu,"\nNYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) سے EarlyLearn کے بارے میں مزید معلومات حاصل کریں۔\n311 پر کال کریں۔ اگر آپ کو پروگرام تلاش کرنے میں مدد درکار ہو تو ""EarlyLearn"" سے مدد طلب کریں۔",,{'url': 'https://www.myschools.nyc/ur/schools/3k/'}
শিশুসন্তান থাকা পরিবারগুলির ট্যাক্স ক্রেডিট,Bengali,"\nআপনি দাবি করতে পারেন এমন ট্যাক্স ক্রেডিটগুলি (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) সম্বন্ধে জানুন।\nনিকটতম স্বেচ্ছাসেবক আয়কর সহায়তা (Volunteer Income Tax Assistance, VITA) বা বয়স্কদের জন্য ট্যাক্স কাউন্সেলিং (Tax Counseling for the Elderly, TCE) খুঁজতে 800-906-9887 নম্বরে ফোন করুন।",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Crédito tributario para familias con hijos,Spanish,\nObtenga más información sobre los créditos fiscales (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que puede reclamar.\nLlame al 800-906-9887 para encontrar el centro de Asistencia Voluntaria para los Impuestos (VITA) o de Asesoría sobre Impuestos para Adultos Mayores (TCE) más cerca de usted.,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
殘疾人士的租金凍結,Chinese (Traditional),造訪網站請造訪紐約市租金凍結計畫網站 (http://www1.nyc.gov/site/rentfreeze/index.page) 以瞭解更多資訊。請查看 COVID-19 期間的房租凍結計畫之常見問題集 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) 。與 DRIE 聯絡請求來自財政部的 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) 協助。使用 TTY 致電 DRIE如果您有聽力障礙，請致電 212-639-9675。撥打 311洽詢 DRIE 專員。,如果您居住在房屋發展基金公司 (HDFC) 公寓或 Mitchell-Lama 公寓中，請致電 212-863-8494 聯絡 HPD 以進行申請。,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Des bons pour payer une partie de votre loyer,French,"\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Obtenez plus d’informations sur la « Section 8 » (https://wb-nycha.qmatic.cloud/) sur le site internet de la NYCHA.\nVeuillez contacter le Centre de contact client (Customer Contact Center, CCC) de la NYCHA au 718-707-7771.\nPrenez rendez-vous pour vous rendre dans un centre de contact clientèle.",,
低收入家庭 3 至 4 歲兒童的照護與教育,Chinese (Traditional),\n透過 NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) 瞭解關於啟蒙教育的更多資訊。\n如需協助尋找計畫，請撥打 311 電話並詢問「Head Start」（啟蒙教育）。,,
Оплата расходов на отопление и коммунальные услуги,Russian,"\nПосетите веб‑сайт OTDA (https://otda.ny.gov/programs/heap/) , чтобы узнать больше о программе HEAP.\nДля получения помощи по программе HEAP позвоните по номеру 718-557-1399.\nПозвоните в службу 311 и спросите о поддержке по Программе помощи в оплате бытового энергопотребления.","Прием заявлений на получение чрезвычайного пособия по программе HEAP на 2024–2025 гг. закрыт 7 апреля 2025 года. Подать заявку на получение стандартного пособия HEAP по телефону невозможно. Позвоните по номеру718-557-1399, чтобы подать заявление на получение чрезвычайного пособия или проверить статус своего заявления. Сначала нужно подать заявление и получить одобрение на стандартное пособие по программе HEAP.",{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
Ваучеры на частичную оплату аренды,Russian,"\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Узнайте больше о программе «Раздел 8» (https://wb-nycha.qmatic.cloud/) на веб-сайте NYCHA.\nПозвоните в центр обслуживания клиентов Управления жилищного хозяйства г. Нью-Йорка (New York City Housing Authority, NYCHA) по номеру 718-707-7771.\nЗапишитесь на прием в Контактный центр по работе с клиентами.",,
Ulga podatkowa od nieruchomości dla starszych właścicieli domów,Polish,"\nOdwiedź stronę internetową SCHE (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) , aby dowiedzieć się więcej.\nNależy zadzwonić pod numer 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) . Aby skorzystać z usługi TTY lub telefonu tekstowego, należy zadzwonić pod numer 212-639-9675 \nNależy wysłać e-mail do SCHE, aby uzyskać więcej informacji.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
طلباء کے لیے اسکول سے فارغ اوقات کے پروگرام,Urdu,"آن لائن (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD سے COMPASS کے بارے میں مزید جانیں۔فون کریںDYCD یوتھ کنیکٹ کو 4646-246-800 پر یا 6800-343-646 پر کال کریں۔ مزید معلومات کے لیے آپ اپنے بچے کے اسکول میں آفٹر اسکول پروگرام کے عملہ کو کال بھی کر سکتے ہیں۔311 پر کال کریں""آفٹر اسکول پروگرام میں جامع مدد"" طلب کریں۔",,
고령 주택 소유자 재산세 지원,Korean,\n자세한 내용은 SCHE 웹사이트 (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) 를 참조하십시오.\n212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 번으로 전화 문의하십시오. TTY 또는 문자 전화 장치를 사용하시는 경우 212-639-9675번으로 전화하십시오.\n자세한 사항을 확인하시려면 SCHE에 이메일을 보내십시오.,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
حرارت اور ‎یوٹیلیٹی کے اخراجات کے لیے رقم,Urdu,,2024-25‏ ہنگامی مراعات ےک لیے درخواستیں ‎7‏ اپریل ‎2025‏ کو بند ہ گئیں۔ آپ ‏HEAP‏ کی مستقل مراعات کے لیے بذریعہ فون درخواست دے سکتے ہیں۔ ہنگامی مراعات کے لیے درخواست دینے کے لیے یا اپنی درخواست کا اسٹیٹس چیک کرنے کے لیے‎718-557-1399‏پر کال کریں۔ آپ پر سب سے پہلے درخواست دینا اور ‏HEAP‏ کی مستقل مراعات کے لیے منظور شدہ ہونا لازم ہے۔,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
رعاية مجانية أو منخفضة التكلفة للأطفال من عمر ستة أسابيع حتى عامين,Arabic,"تعرف على المزيد من المعلومات بشأن برامج EarlyLearn من موقع NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .الاتصال على الرقم 311. اسأل عن ""EarlyLearn"" إذا كنت بحاجة إلى مساعدة في العثور على برنامج.",,{'url': 'https://www.myschools.nyc/ar/schools/3k/'}
Reembolso de impuestos si pagó por el cuidado de dependientes e hijos,Spanish,\nObtenga más información sobre los créditos fiscales (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que puede reclamar.\nLlame al 800-906-9887 para encontrar el centro de Asistencia Voluntaria para los Impuestos (VITA) o de Asesoría sobre Impuestos para Adultos Mayores (TCE) más cerca de usted.,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
برامج ما بعد الدراسة للتلاميذ,Arabic,"عبر الإنترنتتعرف على المزيد حول COMPASS عن طريق (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.الاتصالاتصل بخدمة Youth Connect التابعة لـDYCD على الرقم 4646-246-800 أو6800-343-646 . يمكنك أيضًا التحدث إلى طاقم عمل برنامج ما بعد الدوام المدرسي في مدرسة طفلك لمعرفة المزيد من المعلومات.الاتصال على الرقم 311اسأل عن ""مساعدة البرنامج الشامل لمنظومة ما بعد الدوام المدرسي"".",,
کم آمدنی والی فیملیز کے 3 تا 4 سال کے بچوں کی نگہداشت اور تعلیم,Urdu,"\nNYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) سے ہیڈ اسٹارٹ کے بارے میں مزید جانیں۔\nپروگرام تلاش کرنے میں اگر آپ کو مدد درکار ہو تو ""ہیڈ اسٹارٹ"" سے مدد طلب کریں۔",,
Ulga podatkowa z tytułu poniesionych kosztów opieki nad dzieckiem lub osobą będącą na utrzymaniu,Polish,,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Cuidado infantil gratis o a bajo costo para niños de seis semanas a dos años,Spanish,\nObtenga más información sobre el cuidado infantil de NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .,,{'url': 'https://www.myschools.nyc/es/schools/3k/'}
চার বছর বয়সীদের জন্য বিনামূল্যে প্রি-K,Bengali,\nপ্রি-K ভর্তি প্রক্রিয়া সম্পর্কে আরও জানতে NYC DOE প্রি-K ওয়েবসাইট (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) দেখুন।\nআপনার প্রি-K তে ভর্তি প্রক্রিয়া সম্পর্কে প্রশ্ন থাকলে 718-935-2009 (mailto:ESEnrollment@schools.nyc.gov) নম্বরে কল করুন।\nপ্রি-K তে ভর্তির বিষয়ে আপনার প্রশ্ন থাকলে প্রি-K অ্যাডমিশনে ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) -এ ইমেল করুন।\nপ্রি-K কর্মসূচি সম্পর্কে আরও জানতে একটি ফ্যামিলি ওয়েলকাম সেন্টার যান।,"\n718-935-2009 নম্বরে কল করে ফোনের মাধ্যমে নথিভুক্ত করুন।জানুয়ারি 10, 2024 থেকে 1 মার্চ, 2024 পর্যন্ত আবেদন করুন৷\n200টিরও বেশি ভাষায় টেলিফোনিক ভাষান্তর পরিষেবা লভ্য।",
Dinero para comprar comida,Spanish,\nVisite el sitio web de SNAP (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) para obtener más información.\nLlame a la línea de información de la HRA al 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) para obtener ayuda para solicitar SNAP.\nVisite un centro de SNAP (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) o su organización de la comunidad (CBO) local para obtener ayuda en persona.,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
Kredi taks endividi ak fanmi k ap travay,Haitian Creole,"\nAprann plis bagay sou kredi (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) enpo ou kapab reklame.\nRele 800-906-9887 pou konnen ki kote ki gen yon biwo Èd Volontè pou Taks sou Revni (Volunteer Income Tax Assistance, VITA) oswa Konsèy sou Taks pou Granmoun Aje (Tax Counseling for the Elderly, TCE) ki toupre ou.",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
ٹیکس ریفنڈ، اگر آپ نے اپنے بچے اور زیرِ کفالت فرد کی نگہداشت کے لیے ادا کیا ہو,Urdu,,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
자녀 및 부양가족 지원을 위해 비용을 지불한 경우 세금 환급,Korean,,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Crédits d’impôt pour les familles et les personnes seules occupant un emploi,French,"\nRenseignez-vous sur les crédits d’impôt (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que vous pouvez demander.\nAppelez le 800 906 9887 pour trouver le bureau le plus proche du service d’assistance fiscale bénévole (Volunteer Income Tax Assistance, VITA) ou des conseils en fiscalité pour les personnes âgées (Tax Counseling for the Elderly, TCE).",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
چار سال کے بچوں کے لیے مفت pre-K,Urdu,\npre-K میں داخلوں کے عمل کے بارے میں مزید جاننے کے لیے NYC DOE Pre-K کی ویب سائٹ (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) ملاحظہ کریں۔\nاگر pre-K میں داخلہ کے عمل کے بارے میں آپ کے سوالات ہیں تو 2009-935-718 (mailto:ESEnrollment@schools.nyc.gov) پر کال کریں۔\nاگر pre-K میں داخلہ کے بارے میں آپ کے سوالات ہیں تو Pre-K ایڈمیشنز کو ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) پر ای میل کریں۔\npre-K پروگرامز کے بارے میں مزید جاننے کے لیے فیملی ویلکم سینٹر ملاحظہ کریں۔,\n718-935-2009 پر کال کر کے فون پر اندراج کرائیں۔10‏ جنوری ‎2024‏ سے ‎1‏ مارچ ‎2024‏ تک درخواست دیں۔\nترجمہ کی خدمات 200 سے زائد زبانوں میں دستیاب ہیں۔,
Property tax break for homeowners with disabilities,English,\nVisit the DHE website (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) to learn more.\nCall 212-NEW-YORK (212-639-9675 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) )\n (https://www.nyc.gov/site/mayorspeu/index.page) Email DHE for more information.\nCall 929-252-7242 to get one-on-one help with applying for DHE from an NYC Public Engagement Unit Specialist.,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Planes de seguro médico privados,Spanish,"\nConozca más sobre sus opciones mediante Citywide Health InsuranceAccess de la HRA (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) .\nGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) ayuda alos neoyorquinos a inscribirse en un seguro médico. Especialistasdedicados pueden ayudarlo gratis en su idioma.\nComplete un Formulario de solicitud de asistencia para lainscripción al seguro médico (https://nycdohmh.surveymonkey.com/r/7BB62M3) para recibir una llamada de unconsejero de inscripción. La asistencia para la inscripción gratisestá disponible independientemente del estado de inmigración y enmuchos idiomas. Su información se mantendrá privada.\nPara hacer preguntas generales sobre el seguro médico y paraencontrar un asistente en persona, llame al 311.",Llame a NY State of Health al855-355-5777o al TTY:800-662-1220.,
Bon ki peye yon pati nan lwaye ou,Haitian Creole,\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Aprann plis sou Seksyon 8 la (https://wb-nycha.qmatic.cloud/) sou sitwèb NYCHA a.\nRele Sant Kontak Kliyan (CCC) NYCHA nan 718-707-7771.\nPran yon randevou pou vizite yon Sant Kontak Kliyan.,,
تخفيض ضرائب الأملاك لملاك المنازل,Arabic,\nقم بزيارة موقع STAR الإلكتروني (https://tax.ny.gov/pit/property/star/default.htm)  للمزيد من المعلومات.\nاتصل بالرقم 311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) لمعرفة المزيد.\nراسل مركز أعمال NYC Department of Finance عبر البريد الإلكتروني إذا كان لديك أي سؤال عن برنامج تخفيض ضريبة المدارس (STAR).\nاتصل بإدارة الضرائب والمالية بولاية نيويورك على الرقم 2036-457-518 للحصول على مزيد من المعلومات حول الائتمان الضريبي STAR الخاص بولاية نيويورك۔.,إذا كان دخلك أكبر من 250.000 دولار أمريكي وأقل من أو يساوي 500.000 دولار أمريكي ، يمكنك التسجيل عبر الإنترنت للحصول على ائتمان ضريبة STAR الخاص بولاية نيويورك (https://www.tax.ny.gov/pit/property/star/) أو عن طريق الاتصال بالرقم 2036-457-518.,
Ulga podatkowa dla pracujących osób i rodzin,Polish,,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Swen timoun gratis oswa ak yon pri ki ba pou timoun ki gen sis (6) semèn jiska de (2) lane,Haitian Creole,"\nJwenn plis enfòmasyon sou EarlyLearn nan NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .\nRele 311. Mande pou ""EarlyLearn"" si ou bezwen èd pou jwenn yon pwogram.",,{'url': 'https://www.myschools.nyc/ht/schools/3k/'}
Планы частного медицинского страхования,Russian,"Узнайте больше о вариантах медицинскогострахованияУзнайте больше о доступных вариантах на веб-сайте Городского управления пообеспечению доступа к медицинскому страхованию HRA (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) .Запрос помощи при подаче заявленияGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) оказывает помощь жителям Нью-Йорка при подаче заявления намедицинское страхование. Вы можете бесплатно получить помощьспециалиста на вашем языке.Запрос звонка консультантаЗаполните форму запроса помощи при подаче заявления намедицинское страхование, (https://nycdohmh.surveymonkey.com/r/7BB62M3) и консультант свяжется с вами.Бесплатная помощь при подаче заявления доступна на многих языках,независимо от иммиграционного статуса. Ваша информация будетоставаться конфиденциальной.Позвоните по номеру 311Общие вопросы о медицинском страховании и поискконсультанта.",Позвоните в NY State of Health по номеру855-355-5777или TTY:800-662-1220.,
أموال مقابل نفقات المرافق والتدفئة,Arabic,"\nتفضل بزيارة الموقع الإلكتروني لمكتب الإعانات المؤقتة وإعانات ذوي الإعاقة (Office of Temporary and Disability Assistance, OTDA) فيما يخص برنامج HEAP (https://otda.ny.gov/programs/heap/) لمعرفة المزيد عن هذا البرنامج.\nاتصل هاتفيًا على الرقم 1399-557-718 للحصول على المساعدة بخصوص برنامج HEAP.\nاتصل هاتفيًا بالرقم 311 واطلب المساعدة بخصوص برنامج مساعدات الطاقة المنزلية (HEAP).",أُغلقت مدة تقديم الطلبات لعام 2024-25 للحصول على المخصصات الطارئة في ‎‏7 أبريل 2025. لا يمكنك تقديم طلب عبر الهاتف للحصول على مخصصات ‏HEAP‏ المنتظمة. اتصل بالرقم718-557-1399للتقديم على مخصصات الطوارئ أو للتحقق من حالة طلبك. يجب أن تكون قد تقدمت بالفعل بطلب للحصول على المخصصات المنتظمة من برنامج HEAP وتمت الموافقة عليها.,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
Reducción de impuestos inmobiliarios para propietarios,Spanish,\nVisite el sitio web de STAR (https://tax.ny.gov/pit/property/star/default.htm) para obtener más información.\nLlame al 311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) para obtener más información.\nEnvíe un correo electrónico al Departamento de Finanzas de NYC si tiene preguntas sobre STAR.\nComuníquese con el Departamento de Impuestos y Finanzas del Estado de Nueva York al 518-457-2036 Para obtener más información sobre el crédito fiscal STAR del Estado de Nueva York.,"Si sus ingresos son superiores a $ 250, 000 e inferiores o iguales a $ 500 000, puede registrarse en línea para el crédito fiscal STAR del estado de Nueva York (https://www.tax.ny.gov/pit/property/star/) o llamando al 518-457-2036.",
Rent freeze for seniors,English,\nVisit SCRIE website (http://nyc.gov/rentfreeze) to learn more about this program.\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) Email SCRIE (https://www.nyc.gov/site/mayorspeu/index.page) for more information\nCall 311 (mailto:SCRIE@hpd.nyc.gov) and ask for a SCRIE specialist or 212-639-9675 (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) if you have a hard time hearing\nCall 929-252-7242 to get one-on-one help with applying for DHE from an NYC Public Engagement Unit Specialist.For HPD-supervised SCRIE:\nEmail SCRIE@hpd.nyc.gov\nVisit HPD's website to learn more.\nCall at 212-863-8494 for any questions.,,{'url': 'https://www.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Налоговый вычет для семей с детьми,Russian,"\nУзнайте о налоговых вычетах (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) , на которые вы можете претендовать.\nПозвоните по номеру 800-906-9887, чтобы узнать адрес ближайшего пункта Программы оказания безвозмездной помощи по вопросам подоходного налогообложения (Volunteer Income Tax Assistance, VITA) или Программы консультаций по вопросам налогообложения для пожилых людей (Tax Counseling for the Elderly, TCE).",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
خطط التأمين الصحي الخاص,Arabic,تعرف على المزيد حول خيارات التأمين الصحيتعرف على المزيد حول خياراتك من خلال Citywide Health InsuranceAccess التابع لإدارة الموارد البشرية (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) .طلب مساعدة التسجيلGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) يساعدسكان نيويورك على التسجيل في التأمين الصحي. يمكن للمتخصصين المخصصينمساعدتك بلغتك مجانًا.اطلب مكالمة مستشارأكمل نموذج الاستفسار عنالمساعدة في التسجيل في التأمين الصحي (https://nycdohmh.surveymonkey.com/r/7BB62M3) لتلقي مكالمة من مستشارتسجيل. مساعدة التسجيل المجانية متاحة بغض النظر عن حالة الهجرةوبالعديد من اللغات. سوف تبقى ردودكم سرية.اتصل على الرقم 311للأسئلة العامة حول التأمين الصحي والعثور على مساعد شخصي.,اتصل هاتفيًا بـ NY State of Health على الرقم ‎855-355-5777أو رقم الهاتف النصي (TTY):‎800-662-1220.,
خفض الضريبة العقارية على المحاربين القدامى,Arabic,\nقم بزيارة موقع إعفاء المحاربين القدامى (Veterans' Exemption) الإلكتروني (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) للمزيد من المعلومات..\nقم بزيارة مكتب Department of Finance (http://www1.nyc.gov/site/finance/pay-now/person.page) الأقرب إليك للحصول على المساعدة شخصياً.\nاتصل على الرقم 311 واسأل عن برنامج إعفاء المحاربين القدامى إذا كان لديك أسئلة عن البرنامج.,,
প্রাক্তন সমরকর্মীদের জন্য সম্পত্তি কর বিরতি,Bengali,আরো তথ্যের জন্য আমাদের \nভেটারান্স এগজেম্পশন ওয়েবসাইট (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) দেখুন।\nসশরীরে সহায়তা পেতে আপনার নিকটস্থ অর্থ বিভাগের অফিসে (Department of Finance (http://www1.nyc.gov/site/finance/pay-now/person.page) ) যান।\nযদি আপনার এই কার্যক্রম নিয়ে কোনো প্রশ্ন থাকে তাহলে 311 নম্বরে কল করে ভেটারান্স এগজেম্পশন সম্পর্কে জিজ্ঞাসা করুন।,,
Exención del impuesto sobre la propiedad para adultos mayores que sean propietarios,Spanish,"\nVisite el sitio web del programa de SCHE (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) para obtener más información.\nLlame al 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) . Para TTY o teléfono de texto, llame al 212-639-9675.\nEnvíe un correo electrónico al programa de SCHE para obtener más información.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
